Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-16,Moonrise Kingdom,2012,https://letterboxd.com/cindyshi/film/moonrise-kingdom/,4,,,2018-03-14
2018-03-21,Black Panther,2018,https://letterboxd.com/cindyshi/film/black-panther-2018/1/,4.5,Yes,"cineplex, scotiabank",2018-03-16
2018-03-22,Lover for a Day,2017,https://letterboxd.com/cindyshi/film/lover-for-a-day/,4,,,2018-03-17
2018-03-21,The Grand Budapest Hotel,2014,https://letterboxd.com/cindyshi/film/the-grand-budapest-hotel/,5,Yes,,2018-03-18
2018-03-29,Annihilation,2018,https://letterboxd.com/cindyshi/film/annihilation/1/,4,,"cineplex, marine drive",2018-03-20
2018-03-25,Rushmore,1998,https://letterboxd.com/cindyshi/film/rushmore/,4.5,,"rent, youtube",2018-03-23
2018-03-25,The Royal Tenenbaums,2001,https://letterboxd.com/cindyshi/film/the-royal-tenenbaums/,4,,,2018-03-24
2018-03-27,The Darjeeling Limited,2007,https://letterboxd.com/cindyshi/film/the-darjeeling-limited/1/,4.5,,,2018-03-24
2018-03-26,Bottle Rocket,1996,https://letterboxd.com/cindyshi/film/bottle-rocket-1996/,3.5,,,2018-03-25
2018-03-27,Foxtrot,2017,https://letterboxd.com/cindyshi/film/foxtrot-2017/,4.5,,"viff, vancity",2018-03-26
2018-03-28,Loveless,2017,https://letterboxd.com/cindyshi/film/loveless-2017/,3,,"cineplex, international village",2018-03-27
2018-03-29,Ready Player One,2018,https://letterboxd.com/cindyshi/film/ready-player-one/,5,,"3d, cineplex, scotiabank",2018-03-28
2018-03-30,Isle of Dogs,2018,https://letterboxd.com/cindyshi/film/isle-of-dogs-2018/,4,,"cineplex, international village",2018-03-29
2018-04-01,The Shining,1980,https://letterboxd.com/cindyshi/film/the-shining/,4.5,,,2018-03-30
2018-04-01,The Little Prince,2015,https://letterboxd.com/cindyshi/film/the-little-prince-2015/,4,,"viff, q&a, vancity",2018-03-31
2018-04-01,Ready Player One,2018,https://letterboxd.com/cindyshi/film/ready-player-one/1/,4.5,Yes,"imax, 3d, cineplex, riverport",2018-03-31
2018-04-05,The Master,2012,https://letterboxd.com/cindyshi/film/the-master-2012/,4.5,,,2018-04-03
2018-04-07,Inherent Vice,2014,https://letterboxd.com/cindyshi/film/inherent-vice/,4.5,,,2018-04-05
2018-04-07,Isle of Dogs,2018,https://letterboxd.com/cindyshi/film/isle-of-dogs-2018/1/,4,Yes,"cineplex, fifth ave",2018-04-06
2018-04-08,Magnolia,1999,https://letterboxd.com/cindyshi/film/magnolia/,5,,,2018-04-07
2018-04-11,Boogie Nights,1997,https://letterboxd.com/cindyshi/film/boogie-nights/,5,,,2018-04-09
2018-04-11,A Quiet Place,2018,https://letterboxd.com/cindyshi/film/a-quiet-place-2018/,3.5,,"cineplex, marine drive",2018-04-10
2018-04-12,The Social Network,2010,https://letterboxd.com/cindyshi/film/the-social-network/,5,Yes,netflix,2018-04-11
2018-04-16,Hard Eight,1996,https://letterboxd.com/cindyshi/film/hard-eight/,3,,,2018-04-15
2018-04-18,There Will Be Blood,2007,https://letterboxd.com/cindyshi/film/there-will-be-blood/,5,,"rent, youtube",2018-04-16
